cluster,taxonomy,count
430,SARS-CoV-2,67
430,Rhinovirus A,40
431,Rhinovirus A,104
432,SARS-CoV-2,175
433,SARS-CoV-2,73
434,Rhinovirus B,118
435,SARS-CoV-2,53
436,SARS-CoV-2,66
437,Rhinovirus A,128
438,HCoV-229E,222
439,Rhinovirus A,248
440,Rhinovirus A,55
441,Rhinovirus B,145
442,Rhinovirus B,58
443,Rhinovirus A,67
444,Rhinovirus A,64
445,Rhinovirus B,132
446,Rhinovirus A,73
447,Rhinovirus C,99
448,Rhinovirus C,62
449,Rhinovirus A,52
450,Rhinovirus A,84
451,SARS-CoV-2,73
452,SARS-CoV-2,125
453,Rhinovirus C,41
453,Rhinovirus B,26
453,SARS-CoV-2,22
454,Rhinovirus B,37
454,Rhinovirus A,34
455,Rhinovirus B,85
456,Rhinovirus B,153
457,Rhinovirus A,190
457,Rhinovirus C,7
457,Rhinovirus B,2
458,Rhinovirus B,116
459,HCoV-OC43,43
459,SARS-CoV-2,41
459,HCoV-229E,1
460,Rhinovirus A,227
461,Rhinovirus A,59
462,HCoV-229E,224
463,SARS-CoV-2,51
463,HCoV-OC43,11
464,Rhinovirus A,94
465,Rhinovirus C,66
466,Rhinovirus C,118
467,Rhinovirus A,99
468,Rhinovirus B,115
469,Rhinovirus A,93
470,Rhinovirus A,47
470,Rhinovirus B,23
470,SARS-CoV-2,20
471,SARS-CoV-2,106
472,Rhinovirus B,82
473,Rhinovirus B,95
474,Rhinovirus B,122
475,Rhinovirus B,90
475,HCoV-OC43,48
475,Rhinovirus A,46
475,SARS-CoV-2,37
476,Rhinovirus A,148
477,HCoV-229E,94
477,SARS-CoV-2,39
478,Rhinovirus A,54
479,Rhinovirus A,68
480,Rhinovirus A,51
480,Rhinovirus B,39
481,Rhinovirus A,145
482,Rhinovirus A,149
483,Rhinovirus B,106
483,Rhinovirus A,12
484,Rhinovirus B,60
485,HCoV-229E,128
486,Rhinovirus B,53
487,Rhinovirus B,81
488,HCoV-229E,56
488,Rhinovirus A,21
489,Rhinovirus A,95
490,Rhinovirus A,63
491,Rhinovirus B,64
492,Rhinovirus B,197
493,Rhinovirus A,58
494,Rhinovirus B,153
495,Rhinovirus A,66
496,Rhinovirus B,51
497,Rhinovirus B,223
498,SARS-CoV-2,54
499,SARS-CoV-2,102
500,HCoV-OC43,94
501,Rhinovirus B,62
502,Rhinovirus A,64
503,Rhinovirus A,120
504,HCoV-OC43,85
505,Rhinovirus A,131
506,Rhinovirus A,94
507,Rhinovirus B,133
507,SARS-CoV-2,42
507,Rhinovirus A,27
508,HCoV-229E,59
508,Rhinovirus B,27
509,Rhinovirus B,74
509,Rhinovirus A,43
510,Rhinovirus A,124
511,HCoV-OC43,213
512,Rhinovirus C,108
512,Rhinovirus A,25
513,Rhinovirus A,201
513,Rhinovirus C,1
514,Rhinovirus B,33
514,Rhinovirus A,13
514,Rhinovirus C,7
515,Rhinovirus A,99
516,Rhinovirus A,87
517,Rhinovirus A,56
518,Rhinovirus A,68
518,SARS-CoV-2,30
518,Rhinovirus B,15
519,Rhinovirus A,70
520,Rhinovirus B,148
521,HCoV-OC43,29
521,Rhinovirus A,21
521,Rhinovirus B,21
522,Rhinovirus A,54
523,Rhinovirus A,54
524,Rhinovirus A,52
524,SARS-CoV-2,44
525,Rhinovirus C,103
526,Rhinovirus C,131
527,SARS-CoV-2,159
527,HCoV-229E,46
528,Rhinovirus B,159
529,Rhinovirus A,48
529,Rhinovirus B,21
529,HCoV-229E,14
529,SARS-CoV-2,8
529,HCoV-OC43,3
529,Rhinovirus C,2
530,HCoV-229E,69
531,HCoV-229E,91
532,Rhinovirus A,122
532,HCoV-OC43,12
533,Rhinovirus B,154
533,HCoV-OC43,105
533,Rhinovirus A,35
533,SARS-CoV-2,10
534,Rhinovirus A,159
535,HCoV-OC43,52
535,Rhinovirus B,19
536,Rhinovirus C,71
536,Rhinovirus A,22
537,Rhinovirus C,144
537,Rhinovirus A,29
538,Rhinovirus A,103
539,HCoV-OC43,93
540,Rhinovirus B,67
540,HCoV-OC43,29
541,SARS-CoV-2,75
541,Rhinovirus B,29
541,Rhinovirus A,19
542,Rhinovirus B,51
542,Rhinovirus A,38
543,HCoV-OC43,90
544,HCoV-OC43,60
545,Rhinovirus C,44
545,Rhinovirus A,8
545,Rhinovirus B,5
546,Rhinovirus A,75
547,Rhinovirus A,37
547,HCoV-OC43,16
548,Rhinovirus B,88
549,SARS-CoV-2,221
550,Rhinovirus A,319
551,Rhinovirus A,96
552,Rhinovirus A,76
553,Rhinovirus A,55
554,Rhinovirus A,100
555,HCoV-229E,84
556,SARS-CoV-2,161
557,SARS-CoV-2,66
558,HCoV-229E,156
559,HCoV-229E,108
560,HCoV-OC43,65
561,Rhinovirus A,232
562,Rhinovirus A,69
563,Rhinovirus A,96
564,Rhinovirus A,84
